ID,GROUPE,MUSCLE,SWE_perc,SWE_raw,SWE_dist,ACTIVATION ,LRELATIVE,LRELATIVE_pic,F_V,ForceRelative,ForceRelative_pic,ChargeInterne
1,NHE,SM,0.0,-0.1,0,0.37499383342729,0.62467636676092,0.95636730104980,1.08188546515324,0.26938010421723,0.47592458354122,0.274598646
2,NHE,SM,6.0,2.0,0.18,0.59325783493661,0.61195993054797,0.90400868433847,1.09452093178234,0.41199607461726,0.66363113002429,0.417479088
3,NHE,SM,0.0,-1.4,0,0.41354575615354,0.67455694673895,1.01647024316151,1.08748943308763,0.33974183056235,0.76051244675611,0.357989563
4,NHE,SM,0.0,-7.6,0,0.42851333774267,0.62860146903282,0.94657659553319,1.08639061170794,0.32005130939319,0.63127314059347,0.335921428
5,NHE,SM,0.0,-7.6,0,0.46639005444292,0.71870703953786,0.94192428124918,1.06318032358086,0.38316919313169,0.74441103980020,0.401532707
6,NHE,SM,0.0,-2.8,0,0.37386974109480,0.74858901961756,0.98049200757464,1.06460683745251,0.31672730840060,0.53680740182573,0.330503142
7,NHE,SM,0.0,-10.2,0,0.40144630924808,0.62797521718622,0.90316369837992,1.08374032761211,0.29149590103166,0.54982994800265,0.305235141
8,NHE,SM,26.0,22.1,0.31,0.53254178302915,0.59598550001623,0.88900564199166,1.07685617978245,0.36740475878908,0.71875403715788,0.380096784
9,NHE,SM,14.7,13.6,0.47,0.43363395962999,0.69762213574808,0.96234145655364,1.09505389641753,0.35984896084403,0.68284571603506,0.381642544
10,NHE,SM,0.0,-1.0,0,0.80418885357907,0.64519517763218,1.01220300264989,1.07412506899999,0.57602014853749,0.90145619057750,0.596834167
1,NHE,ST,26.2,6.7,0.76,0.65232643530846,0.93663298266568,1.13198510634671,1.08031952230022,0.67138103637921,0.82712823327338,0.648344059
2,NHE,ST,11.8,2.4,0.36,0.37187066623122,0.87504013000468,1.11135743500191,1.09907610775636,0.39008838428055,0.50510972401922,0.384464297
3,NHE,ST,40.7,23.1,0.69,0.53359650896111,0.95870708315466,1.15782596377459,1.08979814335496,0.58019187077843,0.99706147797060,0.552147609
4,NHE,ST,30.1,10.2,0.84,0.40807907138968,0.89814674138813,1.12445853402751,1.08956785945870,0.43323978332534,0.71518856806153,0.424727601
5,NHE,ST,65.0,17.3,1,0.25660968216937,0.98991167522519,1.13261696384907,1.07522752568605,0.28162583200842,0.42075828562552,0.277297654
6,NHE,ST,13.2,3.1,1,0.40820047260522,0.99120817320143,1.14100361262124,1.06941333354658,0.44339496605677,0.61054281023765,0.42704741
7,NHE,ST,15.2,11.7,0.77,0.55019066137216,0.95824126706588,1.09989718361854,1.08179325390821,0.56451142701687,0.84885215219403,0.558409502
8,NHE,ST,52.9,23.9,0.63,0.21000650016022,0.95159991818378,1.10121671154545,1.08251525583297,0.21383864679771,0.29341352656351,0.221064976
9,NHE,ST,11.4,6.0,0.36,0.45141834396074,1.00269003003987,1.13130757427372,1.10102392938449,0.50190352103583,0.73333973475485,0.47714446
10,NHE,ST,79.4,26.4,1,0.63889684860738,0.94116793388117,1.15937939650907,1.07921227609499,0.66328798910024,0.86673606508190,0.646793809
1,NHE,BF,8.5,4.5,0.24,0.55841378662988,0.67999160662284,0.94017839672004,1.07090705123661,0.45027574284246,0.83078959377509,0.486813518
2,NHE,BF,15.2,3.6,0.46,0.59574499136040,0.67776837101054,0.90353828422000,1.08189352859572,0.46076875122070,0.72502433096485,0.499934496
3,NHE,BF,18.1,12.6,0.31,0.37440973723337,0.74459678938755,0.99007809259144,1.07185607451101,0.32604557162426,0.76473255171069,0.355082649
4,NHE,BF,5.8,3.4,0.16,0.50765438121623,0.68103144225544,0.92437567626171,1.07011043542925,0.40386134217911,0.89661382787719,0.445676719
5,NHE,BF,0.0,-3.3,0,0.47965152550755,0.81064406620513,0.95909935853276,1.04960382322200,0.43105847464913,0.75400666071083,0.461654199
6,NHE,BF,0.0,-4.1,0,0.69331676380774,0.79703512574095,0.98394948326017,1.04934969909012,0.59673759149216,1.01614104641157,0.640123376
7,NHE,BF,4.6,2.5,0.23,0.62833070257113,0.73240310297539,0.95166369893584,1.06968646894219,0.52206740061107,0.91014968525763,0.567678627
8,NHE,BF,4.5,2.5,0.05,0.29538785543802,0.68660248766864,0.92896994446123,1.06752683245287,0.23317260852667,0.52091694636447,0.257076713
9,NHE,BF,5.4,3.5,0.17,0.46661966893755,0.77458177021473,0.92713531450685,1.07129136788431,0.41280978133633,0.76827291472547,0.450824447
10,NHE,BF,0.0,-8.5,0,0.68207755478233,0.72125739349951,1.00794406164979,1.06352236307977,0.54907758185352,0.90392844703316,0.595722733
11,DL,SM,2.4,1.3,0.07,0.34642131355639,1.01780101073998,1.31903452498094,1.08918105999811,0.39286778414992,0.60265507852972,0.376455317
12,DL,SM,15.6,8.5,0.4,0.29199099264781,1.25237289236344,1.48213918478308,1.09387137799815,0.39968992359641,0.58495783963525,0.443682123
13,DL,SM,23.4,8.4,0.42,0.28127408826010,1.34906366874408,1.62295467575480,1.07794226089030,0.41281025051121,1.23803973412155,0.687423939
14,DL,SM,15.0,5.5,0.36,0.17593961890040,1.14692631736896,1.51051787467662,1.09586049656200,0.24193196077461,0.64531027560916,0.285672967
15,DL,SM,15.2,5.8,1,0.18297774023987,1.31501258030558,1.52031211196284,1.08536712851859,0.26122982006286,0.60098225580652,0.367510832
16,DL,SM,6.1,8.8,0.42,0.13768932586816,1.46701012533339,1.67234413165608,1.10480695404837,0.22193194623013,1.47801152732438,0.757118406
17,DL,SM,22.4,6.2,0.31,0.18297774023987,1.31501258030558,1.52031211196284,1.08536712851859,0.26122982006286,0.51757560297073,0.600982256
18,DL,SM,52.8,22.0,1,0.18431573061791,1.03240816739339,1.23592711761885,1.06724903823981,0.19859562029933,0.27341904192795,0.216394702
19,DL,SM,9.1,4.0,0.34,0.33251930720590,1.25475397428199,1.46599725168137,1.07155918503690,0.44850631011687,0.58603262894224,0.443711941
20,DL,SM,33.5,20.4,0.57,0.27071298336423,1.20111373783718,1.42500805872738,1.07918811144080,0.34290065715581,0.46951388176816,0.378520841
21,DL,SM,0.0,-7.3,0,0.15508697208674,1.32066273121692,1.48840919869628,1.06352333031430,0.22445183235011,0.54788368943445,0.324515783
11,DL,ST,0.0,-6.7,0,0.22400382281605,1.14863087357248,1.31089342106655,1.10242354955990,0.28808514253830,0.39254529780876,0.274068445
12,DL,ST,18.0,5.5,0.47,0.14341501952232,1.28864266892860,1.41827640044407,1.10351094599166,0.20596111752355,0.45212927703676,0.279804169
13,DL,ST,0.2,0.0,0,0.16027538973446,1.35071886351019,1.52113776844005,1.08620104495740,0.24194573414286,0.67893228465095,0.407416771
14,DL,ST,0.0,-3.9,0,0.17202325869530,1.22530105576895,1.43121351697239,1.10399851322717,0.24704163295328,0.49672301968531,0.264076169
15,DL,ST,0.0,-2.7,0,0.14439424329780,1.32227273205453,1.44480404824737,1.09909437015035,0.21021078159254,0.41333390562053,0.296152251
16,DL,ST,0.0,-1.5,0,0.11411227024892,1.41725502918171,1.55397511617774,1.11637844934270,0.18117734185362,0.74242411404814,0.454169284
17,DL,ST,0.0,1.0,0.09,0.14439424329780,1.32227273205453,1.44480404824737,1.09909437015035,0.21021078159254,0.34155459390735,0.413333906
18,DL,ST,0.0,-1.9,0,0.11744467287367,1.16000815374227,1.26861348939693,1.07684810754537,0.14875780183047,0.24738360104033,0.170985769
19,DL,ST,2.7,-3.6,0,0.18382146108035,1.28814587615041,1.40346065427193,1.08311837761934,0.25681277485492,0.39280082039917,0.298174077
20,DL,ST,0.0,-2.3,0,0.15549164061486,1.25732483087464,1.37619972619813,1.08792533357865,0.21343908902529,0.35663369302530,0.262260409
21,DL,ST,10.2,2.3,0.34,0.15745813967880,1.31678803502498,1.41219442202153,1.07533619811882,0.22385010348874,0.40753168699375,0.29392788
11,DL,BF,30.4,10.6,0.93,0.36158575949182,1.08858467044692,1.40872174565252,1.10253050842244,0.43644543197312,0.62651259874861,0.424871288
12,DL,BF,5.0,2.8,0.13,0.19694672861526,1.27916622532124,1.52390949847076,1.10710844697458,0.28311932592921,0.68825452909190,0.403606775
13,DL,BF,32.2,12.1,0.58,0.09916907680118,1.37549570212255,1.64676486719830,1.09013350870441,0.15561339415625,1.33985963133067,0.623549196
14,DL,BF,26.9,9.3,0.64,0.25278501306676,1.15067099881895,1.52858738212945,1.10002541651391,0.37112740748045,0.89221251378432,0.351089307
15,DL,BF,0.0,-1.8,0,0.18512977518310,1.32100721872751,1.54880485647328,1.09558579297765,0.27021946912294,0.73559186282886,0.387550746
16,DL,BF,11.8,10.8,0.58,0.24721885075483,1.47474798675260,1.70662806951050,1.11708548984137,0.39445951677934,1.72016475715266,0.928685706
17,DL,BF,31.1,9.9,0.6,0.18512977518310,1.32100721872751,1.54880485647328,1.09558579297765,0.27021946912294,0.62836845043330,0.735591863
18,DL,BF,0.0,-2.5,0,0.51884971139920,1.13204371254311,1.36916658363855,1.07610433117989,0.65559193299659,0.81016970134074,0.558516598
19,DL,BF,17.6,6.4,0.66,0.31761358992824,1.24903159884545,1.47318041638238,1.07856462473095,0.43567005506067,0.61133478819147,0.429153513
20,DL,BF,25.7,8.9,0.43,0.27291138747329,1.20429257214572,1.42916908391904,1.08544109185973,0.35910732871707,0.50570346513135,0.380771806
21,DL,BF,20.1,11.3,0.66,0.32613093486197,1.35779341342197,1.55055387732303,1.07759419802455,0.49011462735136,0.89529296601920,0.525788275
