Group;Muscle;n_features;r2;intercept;ACTIVATION;LRELATIVE;F_V;ForceRelative;Equation
DL;BF;3;0.16;18.671215554134214;-82.1573888769972;-7.314301287834402;;52.87887810695824;18.67 + ACTIVATION*-82.16 + LRELATIVE*-7.31 + ForceRelative*52.88
DL;SM;3;0.09;-23.16049889793625;;-17.987526281175544;51.58921939582218;-8.906313799755091;-23.16 + LRELATIVE*-17.99 + F_V*51.59 + ForceRelative*-8.91
DL;ST;3;0.37;44.32517221819143;-39.61249492140285;14.29414206024043;-52.75737249484899;;44.33 + ACTIVATION*-39.61 + LRELATIVE*14.29 + F_V*-52.76
DL;;3;0.03;36.98961031414281;;-1.2519938800243147;-31.025351122674635;9.570147271162648;36.99 + LRELATIVE*-1.25 + F_V*-31.03 + ForceRelative*9.57
NHE;BF;3;0.74;-521.413460967977;-117.65562303503506;;497.93846334560294;123.43247231764502;-521.41 + ACTIVATION*-117.66 + F_V*497.94 + ForceRelative*123.43
NHE;SM;3;0.1;-167.1431900775572;;-29.2083987391656;167.33994153442075;17.013764259764336;-167.14 + LRELATIVE*-29.21 + F_V*167.34 + ForceRelative*17.01
NHE;ST;3;0.05;209.35149767619194;;9.279740623336238;-188.57681964733405;-1.103029058665789;209.35 + LRELATIVE*9.28 + F_V*-188.58 + ForceRelative*-1.1
NHE;;3;0.31;-236.8216092267582;;34.93337566931849;200.55805457501918;-3.137383834099611;-236.82 + LRELATIVE*34.93 + F_V*200.56 + ForceRelative*-3.14
;BF;3;0.44;-106.00979819497225;-19.00477892379249;-4.6442013562136255;113.52865333492815;;-106.01 + ACTIVATION*-19.0 + LRELATIVE*-4.64 + F_V*113.53
;SM;3;0.09;-110.07251346996628;1.5129720872773498;8.713407753376277;97.46465983832853;;-110.07 + ACTIVATION*1.51 + LRELATIVE*8.71 + F_V*97.46
;ST;3;0.47;153.84789903773563;11.140685696560318;-23.61854271955854;-114.73892357737476;;153.85 + ACTIVATION*11.14 + LRELATIVE*-23.62 + F_V*-114.74
